age,age_diff,height,height_diff,reach,reach_diff,stance,stance_diff,weight,weight_diff,won,won_diff,lost,lost_diff,drawn,drawn_diff,kos,kos_diff,result,decision,judge1,judge1_diff,judge2,judge2_diff,judge3,judge3_diff
27.0,-10.0,175.0,-5.0,173.0,-5.0,orthodox,orthodox,146.0,0.0,10,-21,0,-2,1,1,8,-6.0,win,TD,68.0,4.0,70.0,7.0,70.0,7.0
29.0,1.0,165.0,-6.0,157.0,-18.0,orthodox,orthodox,125.0,0.0,23,-9,0,-1,0,-1,14,-4.0,loss,MD,113.0,-2.0,114.0,0.0,113.0,-2.0
26.0,0.0,171.0,1.0,175.0,7.0,orthodox,orthodox,121.0,-1.0,27,10,0,-2,1,-2,15,9.0,win,TKO,,,,,,
25.0,-7.0,171.0,3.0,175.0,2.0,orthodox,orthodox,122.0,0.0,26,-23,0,-7,1,-1,15,-9.0,win,UD,120.0,12.0,120.0,12.0,119.0,10.0
24.0,-10.0,171.0,5.0,175.0,1.0,orthodox,orthodox,122.0,1.0,23,-13,0,-4,1,1,13,-15.0,win,TKO,,,,,,
24.0,-12.0,171.0,2.0,175.0,-3.0,orthodox,orthodox,117.0,-1.0,20,-26,0,-3,1,1,11,-12.0,win,RTD,,,,,,
23.0,-9.0,171.0,1.0,175.0,-5.0,orthodox,orthodox,117.0,0.0,19,-1,0,-3,1,0,11,-1.0,win,UD,119.0,10.0,120.0,12.0,120.0,12.0
21.0,-1.0,168.0,-3.0,171.0,-4.0,orthodox,orthodox,117.0,0.0,20,6,2,2,0,-1,10,4.0,loss,KO,,,,,,
22.0,-6.0,171.0,3.0,175.0,-3.0,orthodox,orthodox,119.0,-2.0,13,9,0,-1,1,1,5,3.0,win,TKO,,,,,,
20.0,-1.0,171.0,10.0,175.0,7.0,orthodox,orthodox,119.0,1.0,8,2,0,-1,1,1,2,-2.0,win,UD,59.0,4.0,59.0,4.0,58.0,2.0
20.0,-18.0,171.0,11.0,175.0,7.0,orthodox,orthodox,119.0,2.0,7,-20,0,-14,1,0,2,-16.0,win,UD,60.0,6.0,59.0,4.0,59.0,4.0
19.0,-3.0,171.0,8.0,175.0,2.0,orthodox,orthodox,117.0,0.0,5,0,0,-2,1,0,2,0.0,win,UD,60.0,6.0,58.0,2.0,59.0,4.0
19.0,-5.0,171.0,6.0,175.0,2.0,orthodox,orthodox,117.0,0.0,4,-3,0,-8,1,-1,2,-3.0,win,UD,,,,,,
19.0,-6.0,171.0,6.0,175.0,2.0,orthodox,orthodox,112.0,-4.0,1,-1,0,0,1,1,1,0.0,win,UD,40.0,4.0,40.0,4.0,39.0,2.0
18.0,-8.0,171.0,11.0,175.0,-5.0,orthodox,orthodox,115.0,0.0,0,0,0,-1,0,0,0,0.0,win,KO,,,,,,
25.0,-5.0,177.0,4.0,183.0,10.0,southpaw,southpaw,149.0,-3.0,16,-10,0,-1,0,0,13,-1.0,win,TKO,,,,,,
38.0,2.0,173.0,7.0,183.0,13.0,orthodox,orthodox,145.0,-1.0,47,-10,0,-5,0,-2,26,-12.0,win,UD,116.0,4.0,118.0,8.0,116.0,4.0
33.0,-6.0,166.0,-4.0,170.0,0.0,southpaw,southpaw,147.0,4.0,54,0,4,-2,2,1,38,-1.0,loss,KO,47.0,1.0,47.0,1.0,47.0,1.0
28.0,-5.0,168.0,2.0,175.0,5.0,orthodox,orthodox,147.0,1.0,28,-26,0,-3,0,-2,12,-26.0,win,SD,115.0,2.0,115.0,2.0,113.0,-2.0
32.0,-6.0,166.0,-4.0,170.0,0.0,southpaw,southpaw,143.0,1.0,53,0,3,-2,2,1,38,-1.0,win,MD,115.0,2.0,114.0,0.0,116.0,4.0
32.0,-7.0,166.0,-8.0,170.0,-10.0,southpaw,southpaw,145.0,-2.0,52,6,3,-3,2,1,38,-1.0,win,UD,120.0,13.0,120.0,12.0,119.0,11.0
